State,Category,Estabblishment
Alabama,Manufacturing,4283
Alabama,Food ,261
Alabama,Animal food ,35
Alabama,Animal food ,35
Alabama,Dog and cat food ,4
Alabama,Other animal food ,31
Alabama,Grain and oilseed milling,8
Alabama,Flour milling and malt ,4
Alabama,Flour milling,4
Alabama,Starch and vegetable fats and oils ,4
Alabama,Soybean and other oilseed processing,3
Alabama,Sugar and confectionery product ,14
Alabama,Chocolate and chocolate confectionery ,11
Alabama,Confectionery  from purchased chocolate,11
Alabama,Fruit and vegetable preserving and specialty food ,5
Alabama,Frozen food ,4
Alabama,Frozen specialty food ,3
Alabama,Dairy product ,7
Alabama,Dairy product (except frozen) ,5
Alabama,Animal slaughtering and processing,74
Alabama,Animal slaughtering and processing,74
Alabama,Animal (except poultry) slaughtering,23
Alabama,Meat processed from carcasses,11
Alabama,Rendering and meat byproduct processing,6
Alabama,Poultry processing,34
Alabama,Seafood product preparation and packaging,17
Alabama,Seafood product preparation and packaging,17
Alabama,Seafood product preparation and packaging,17
Alabama,Bakeries and tortilla ,78
Alabama,Bread and bakery product ,71
Alabama,Retail bakeries,55
Alabama,Commercial bakeries,15
Alabama,"Cookie, cracker, and pasta ",6
Alabama,"Dry pasta, dough, and flour mixes  from purchased flour",4
Alabama,Other food ,23
Alabama,Snack food ,4
Alabama,Roasted nuts and peanut butter ,3
Alabama,Seasoning and dressing ,9
Alabama,"Mayonnaise, dressing, and other prepared sauce ",6
Alabama,Spice and extract ,3
Alabama,All other food ,7
Alabama,All other miscellaneous food ,6
Alabama,Beverage and tobacco product ,31
Alabama,Beverage ,30
Alabama,Soft drink and ice ,19
Alabama,Soft drink ,5
Alabama,Ice ,13
Alabama,Breweries,6
Alabama,Breweries,6
Alabama,Wineries,4
Alabama,Wineries,4
Alabama,Textile mills,33
Alabama,"Fiber, yarn, and thread mills",8
Alabama,"Fiber, yarn, and thread mills",8
Alabama,"Fiber, yarn, and thread mills",8
Alabama,Fabric mills,15
Alabama,Broadwoven fabric mills,8
Alabama,Broadwoven fabric mills,8
Alabama,Narrow fabric mills and schiffli machine embroidery,4
Alabama,Narrow fabric mills and schiffli machine embroidery,4
Alabama,Textile and fabric finishing and fabric coating mills,10
Alabama,Textile and fabric finishing mills,9
Alabama,Textile and fabric finishing mills,9
Alabama,Textile product mills,107
Alabama,Textile furnishings mills,37
Alabama,Carpet and rug mills,4
Alabama,Carpet and rug mills,4
Alabama,Curtain and linen mills,33
Alabama,Curtain and linen mills,33
Alabama,Other textile product mills,70
Alabama,Textile bag and canvas mills,20
Alabama,Textile bag and canvas mills,20
Alabama,All other textile product mills,50
Alabama,"Rope, cordage, twine, tire cord, and tire fabric mills",6
Alabama,All other miscellaneous textile product mills,44
Alabama,Apparel ,45
Alabama,Apparel knitting mills,21
Alabama,Hosiery and sock mills,20
Alabama,Hosiery and sock mills,20
Alabama,Cut and sew apparel ,22
Alabama,Cut and sew apparel contractors,10
Alabama,Cut and sew apparel contractors,10
Alabama,Men's and boys' cut and sew apparel ,7
Alabama,Men's and boys' cut and sew apparel ,7
Alabama,"Women's, girls', and infants' cut and sew apparel ",3
Alabama,"Women's, girls', and infants' cut and sew apparel ",3
Alabama,Leather and allied product ,14
Alabama,Other leather and allied product ,13
Alabama,Other leather and allied product ,13
Alabama,All other leather good and allied product ,12
Alabama,Wood product ,351
Alabama,Sawmills and wood preservation,111
Alabama,Sawmills and wood preservation,111
Alabama,Sawmills,86
Alabama,Wood preservation,25
Alabama,"Veneer, plywood, and engineered wood product ",48
Alabama,"Veneer, plywood, and engineered wood product ",48
Alabama,Hardwood veneer and plywood ,10
Alabama,Softwood veneer and plywood ,6
Alabama,Engineered wood member (except truss) ,5
Alabama,Truss ,17
Alabama,Reconstituted wood product ,10
Alabama,Other wood product ,192
Alabama,Millwork,83
Alabama,Wood window and door ,28
Alabama,"Cut stock, resawing lumber, and planing",37
Alabama,Other millwork (including flooring),18
Alabama,Wood container and pallet ,54
Alabama,Wood container and pallet ,54
Alabama,All other wood product ,55
Alabama,Manufactured home (mobile home) ,17
Alabama,Prefabricated wood building ,14
Alabama,All other miscellaneous wood product ,24
Alabama,Paper ,63
Alabama,"Pulp, paper, and paperboard mills",17
Alabama,Paper mills,6
Alabama,Paper (except newsprint) mills,6
Alabama,Paperboard mills,9
Alabama,Paperboard mills,9
Alabama,Converted paper product ,46
Alabama,Paperboard container ,33
Alabama,Corrugated and solid fiber box ,17
Alabama,Folding paperboard box ,8
Alabama,Other paperboard container ,8
Alabama,Paper bag and coated and treated paper ,6
Alabama,Paper bag and coated and treated paper ,6
Alabama,Other converted paper product ,5
Alabama,All other converted paper product ,5
Alabama,Printing and related support activities,343
Alabama,Printing and related support activities,343
Alabama,Printing,333
Alabama,Commercial printing (except screen and books),244
Alabama,Commercial screen printing,85
Alabama,Books printing,4
Alabama,Support activities for printing,10
Alabama,Support activities for printing,10
Alabama,Petroleum and coal products ,32
Alabama,Petroleum and coal products ,32
Alabama,"Asphalt paving, roofing, and saturated materials ",21
Alabama,Asphalt paving mixture and block ,13
Alabama,Asphalt shingle and coating materials ,8
Alabama,Other petroleum and coal products ,9
Alabama,Petroleum lubricating oil and grease ,3
Alabama,All other petroleum and coal products ,6
Alabama,Chemical ,186
Alabama,Basic chemical ,58
Alabama,Industrial gas ,14
Alabama,Industrial gas ,14
Alabama,Other basic inorganic chemical ,21
Alabama,Other basic inorganic chemical ,21
Alabama,Other basic organic chemical ,21
Alabama,"Cyclic crude, intermediate, and gum and wood chemical ",3
Alabama,All other basic organic chemical ,18
Alabama,"Resin, synthetic rubber, and synthetic fibers and filaments ",28
Alabama,Resin and synthetic rubber ,23
Alabama,Plastics material and resin ,22
Alabama,Artificial and synthetic fibers and filaments ,5
Alabama,Artificial and synthetic fibers and filaments ,5
Alabama,"Pesticide, fertilizer, and other agricultural chemical ",23
Alabama,Fertilizer ,21
Alabama,Nitrogenous fertilizer ,5
Alabama,Phosphatic fertilizer ,3
Alabama,Fertilizer (mixing only) ,13
Alabama,Pharmaceutical and medicine ,15
Alabama,Pharmaceutical and medicine ,15
Alabama,Medicinal and botanical ,5
Alabama,Pharmaceutical preparation ,7
Alabama,Biological product (except diagnostic) ,3
Alabama,"Paint, coating, and adhesive ",25
Alabama,Paint and coating ,20
Alabama,Paint and coating ,20
Alabama,Adhesive ,5
Alabama,Adhesive ,5
Alabama,"Soap, cleaning compound, and toilet preparation ",13
Alabama,Soap and cleaning compound ,10
Alabama,Soap and other detergent ,4
